Word,Count,TF.IDF
incident,0,0.0
sinister,0,0.0
comply,6,0.0
breaks,0,0.0
forgotten,9,0.0
precious,6,0.005248827634033081
compliment,0,0.0
unkempt,0,0.0
lover,2,8.26103768723098E-4
plentiful,0,0.0
malignant,0,0.0
terrible,3,0.006007871691572333
rate,10,0.00413051884361549
mole,0,0.0
assert,0,0.0
lights,3,0.0026244138170165407
rage,14,0.02803673456067089
submitted,0,0.0
ferret,0,0.0
snow,40,0.08010495588763111
headache,0,0.0
purchasing,0,0.0
termination,0,0.0
remarked,1,8.748046056721802E-4
germans,0,0.0
laughing,0,0.0
michael,2,0.0
darkened,0,0.0
relapsed,0,0.0
est,0,0.0
alpha,0,0.0
quitted,0,0.0
4th,0,0.0
irs,1,0.0
california,0,0.0
implored,0,0.0
snapped,2,0.005434782608695652
bandy,1,0.006309587214367833
litter,0,0.0
jeremiah,1,0.006309587214367833
scribbled,0,0.0
blurs,0,0.0
outhouse,0,0.0
wiser,5,0.010013119485953889
rouse,0,0.0
accident,1,4.13051884361549E-4
plumped,0,0.0
muscles,0,0.0
locations,2,0.0
beneath,14,0.01957615331417559
premises,0,0.0
ideas,0,0.0
marshy,0,0.0
silk,4,0.010869565217391304
speciously,0,0.0
biography,0,0.0
sweet,9,0.0
interposed,0,0.0
attica,0,0.0
eye,2,8.26103768723098E-4
predominates,0,0.0
striking,1,0.0013982966652982564
simon,0,0.0
indication,0,0.0
wreaths,1,0.002717391304347826
prolong,0,0.0
glint,0,0.0
allowed,10,0.008748046056721803
reference,0,0.0
villages,1,0.0035921959100200062
impressions,0,0.0
stables,4,0.010869565217391304
secretary,0,0.0
unobserved,0,0.0
vivid,0,0.0
researches,0,0.0
penal,0,0.0
diadem,0,0.0
claspings,0,0.0
straining,0,0.0
swarm,0,0.0
booted,0,0.0
typewriter,0,0.0
shelves,0,0.0
beautiful,123,0.0
silvered,0,0.0
providing,4,0.0
sunday,3,0.001239155653084647
altogether,3,0.001239155653084647
writing,3,0.0
believing,0,0.0
lasting,0,0.0
baxter,0,0.0
reabsorbed,0,0.0
funny,1,0.0020026238971907777
complying,3,0.0
orgies,0,0.0
meningen,0,0.0
unreasoning,0,0.0
foie,0,0.0
fashion,0,0.0
blotched,0,0.0
planted,4,0.014368783640080025
alteration,1,0.0
fordham,0,0.0
conviction,0,0.0
monogram,0,0.0
explore,0,0.0
horace,0,0.0
accommodate,0,0.0
