/     0     1     2     3     4     5     6     7     8     9     
0   0.0   0.8280000000000001   0.996   0.8240000000000001   1.0   1.0   1.0   1.0   1.0   0.976   
1   0.8280000000000001   0.0   0.924   0.5720000000000001   0.6   0.5840000000000001   0.544   0.9359999999999999   0.632   0.94   
2   0.996   0.924   0.0   1.0   0.9359999999999999   0.948   0.8280000000000001   0.5880000000000001   0.852   0.552   
3   0.8240000000000001   0.5720000000000001   1.0   0.0   0.632   0.624   0.636   1.0   0.636   1.0   
4   1.0   0.6   0.9359999999999999   0.632   0.0   0.552   0.52   0.94   0.5840000000000001   0.944   
5   1.0   0.5840000000000001   0.948   0.624   0.552   0.0   0.5800000000000001   0.964   0.5800000000000001   0.956   
6   1.0   0.544   0.8280000000000001   0.636   0.52   0.5800000000000001   0.0   0.836   0.532   0.876   
7   1.0   0.9359999999999999   0.5880000000000001   1.0   0.94   0.964   0.836   0.0   0.836   0.604   
8   1.0   0.632   0.852   0.636   0.5840000000000001   0.5800000000000001   0.532   0.836   0.0   0.832   
9   0.976   0.94   0.552   1.0   0.944   0.956   0.876   0.604   0.832   0.0   
