/     0     1     2     3     4     5     6     7     8     9     
0   0.0   0.8200000000000001   1.0   0.87   1.0   1.0   1.0   1.0   1.0   0.97   
1   0.8200000000000001   0.0   0.91   0.55   0.61   0.5900000000000001   0.5700000000000001   0.92   0.63   0.92   
2   1.0   0.91   0.0   1.0   0.97   0.96   0.8200000000000001   0.5700000000000001   0.85   0.44999999999999996   
3   0.87   0.55   1.0   0.0   0.62   0.5900000000000001   0.65   1.0   0.61   1.0   
4   1.0   0.61   0.97   0.62   0.0   0.5   0.55   0.99   0.6   0.98   
5   1.0   0.5900000000000001   0.96   0.5900000000000001   0.5   0.0   0.56   0.97   0.5700000000000001   0.95   
6   1.0   0.5700000000000001   0.8200000000000001   0.65   0.55   0.56   0.0   0.85   0.5800000000000001   0.87   
7   1.0   0.92   0.5700000000000001   1.0   0.99   0.97   0.85   0.0   0.87   0.6   
8   1.0   0.63   0.85   0.61   0.6   0.5700000000000001   0.5800000000000001   0.87   0.0   0.8200000000000001   
9   0.97   0.92   0.44999999999999996   1.0   0.98   0.95   0.87   0.6   0.8200000000000001   0.0   
